abandon;vt. 放弃,沉溺n. 放任;[4'b1nd4n]
abashed;"adj. 1  (在人前) 感觉羞愧的,局促不安的,困窘的;";[8n4'b15t] 
abate;vt. 缓和,减弱,减少,废除vi. 缓和,减弱,减少;[4'beit]
abdicate;vt. 放弃vi. 逊位;[1bdi'keit]
abduct;vt. 诱拐,绑走;[1b'd8kt]
abhor;vt. 憎恶,痛恨;[4b'h3:]
abhorrent;a. 令人憎恨的,可恶的,不一致的,相反的,厌恶的;[4b'h3r4nt]
ability;n. 能力,才干;[4'biliti]
ablaze;a. 着火的,闪亮的,激昂的ad. 着火,闪耀;[4'bleiz]
abnormal;a. 不正常;[1b'n3:m4l]
abolish;vt. 废止,革除,取消;[4'b3li5]
aboriginal;a. 原始的,土著的n. 土著居民,土生生物;[1b4'rid94nl]
abortive;a. 流产的,堕胎的,失败的;[4'b3rtiv]
abridge;vt. 删节,缩短,剥夺;[4'brid9]
absolute;a. 绝对的,专制的,完全的,独立的n. 绝对;['1bs4lu:t]
absolve;vt. 宣告...无罪,赦免,免除;[4b'z3lv]
absorb;vt. 吸收,并吞,全神贯注,同化;[4b's3:b]
absorbing;a. 吸引人的,非常有趣的;[4b's3:bi6]
abstain;vi. 自制,戒绝,弃权,避免;[4b'stein]
abstinence;n. 节制,禁欲,戒酒;['1bstin4ns]
abstract;n. 摘要,抽象a. 抽象的,深奥的vt. 摘要,提炼,使抽象化;['1bstr1kt]
abstraction;n. 抽象化,心不在焉,提炼,抽象派作品;[1b'str1k54n]
abstruse;a. 难解的,深奥的;[1b'stru:s]
absurd;a. 荒谬的,不合理的,可笑的;[4b's4:d]
abundant;a. 丰富的,充分的;[4'b8nd4nt]
abuse;n. 滥用,恶习,辱骂vt. 滥用,辱骂,虐待;[4'bju:z,4'bju:s]
academic;a. 学院的,理论的,不够实际的;['1k4'demik]
accelerate;vt.vi. 加速;[1k'sel4reit]
accentuate;vt. 以重音念,强调,重读;[1k'sent5ueit]
access;n. 通路,进入,使用权,发作n. 访问;['1kses]
accidental;a. 意外的,偶然的n. 非本质属性;['1ksi'dentl]
acclaim;n. 喝彩,欢呼,赞同vt.vi. 欢呼,喝彩,称赞;[4'kleim]
accommodate;vt. 使适应,调节,和解,容纳vi. 适应;[4'k3m4deit]
accompany;vt. 陪伴,带有,为...伴奏vi. 伴奏;[4'k8mp4ni]
accomplice;n. 共犯,同谋;[4'k3mplis]
accomplished;a. 完成的,实现的,善社交的,有造诣的;[4'k3mpli5t]
accost;vt. 招呼,搭讪,勾引;[4'k3st]
account;n. 账目,报告,估计,原因,记录,算账vi. 解释,认为,占,杀死,得分vt. 认为;[4'kaunt]
accumulate;vt.vi. 积聚,堆积;[4'kju:mjuleit]
accurate;a. 正确的,精确的;['1kjurit]
accusation;n. 控告,指控,非难;['1kju1:3'zei54n]
accuse;vt. 责备,控告,谴责;[4'kju:z]
accustomed;a. 习惯了的;[4'k8st4md]
achieve;vt. 完成;[4't5i:v]
acid;n. 酸,酸类物质a. 酸的,酸性的,讽刺的;['1sid]
acknowledge;vt. 承认,答谢,认知;[4k'n3lid9]
acquire;vt. 获得,学到;[4'kwai4]
acquisitive;a. 想获得的,贪得的;[4'kwizitiv]
acquit;vt. 开释,释放,完成,表现;[4'kwit]
acrid;a. 苦味的,辛辣的,尖刻的;['1krid]
acrimonious;a. 严厉的,辛辣的,刻毒的;[1kri'mouni4s]
acrimony;n. 严厉,辛辣,刻毒;['1kr4'm4uni]
acting;n. 演戏,行为,假装a. 代理的,临时的,演出用的;['1kti6]
action;n. 动作,作用,诉讼,行为,战斗控告;['1k54n]
active;a. 活跃的,积极的,有效的,主动的,现役的,现行的,活性的a. 活动的;['1ktiv]
actual;a. 真实的,实际的;['1ktju4l]
acumen;n. 敏锐,聪明;[4'kju:m4n]
acute;a. 敏锐的,激烈的,尖锐的,严重的;[4'kju:t]
adage;n. 古话,格言,谚语;['1did9]
adapt;vt. 使适应,改编vi. 适应;[4'd1pt]
adaptable;a. 能适应的,可修改的;[4'd1pt4bl]
adaptation;n. 改编,适应,改编成的作品;['1d1p'tei54n]
addict;vt. 使沉溺,使上瘾n. 上瘾者;[4'dikt]
addicted;adj. 痴迷;[_'diktid]
adept;a. 熟练的,老练的n. 名手,专家;[4'dApt]
adequate;a. 适当的,足够的;['1dikwit]
adhere;vi. 依附,粘着,坚持,;[4d'hi4]
adherent;a. 附着的,固守的n. 党徒;[4d'hi4r4nt]
adhesive;a. 粘着的,有粘性的n. 粘剂;[4d'hi:siv]
adjacent;a. 毗连的,邻近的,接近的;[4'd9eis4nt]
adjoin;vt.vi. 邻接,毗连;[4'd93in]
adjoining;a. 邻接的,隔壁的;[4'd93ini6]
adjourn;vi. 延期,休会,换地方vt. 使中止;[4'd94:n]
adjust;vt. 调整,使适应于,校准vi. 调整,适应于,校准;[4'd98st]
administer;vt. 管理,治理,执行vi. 管理,有助于;[4d'minist4]
administration;n. 行政,管理,中央政府;[4d'minis'trei54n]
admirable;a. 可钦佩的,优良的,令人惊奇的;['1dm4r4bl]
admire;vt. 赞美,钦佩,喜欢,爱慕;[4d'mai4]
admit;vt. 允许进入,承认,接纳,容纳vi. 容许有,开向,承认;[4d'mit]
admonish;vt. 劝告,训诫,告诫;[4d'm3ni5]
adopt;vt. 采用,收养,接受;[4'd3pt]
adore;vt. 崇拜,爱慕,喜爱;[4'd3:]
adroit;a. 熟练的,敏捷的;[4'dr3it]
advance;n. 前进,进步,进步的例子vi. 前进,增加,上涨vt. 促进,提出,提高,预付;[4d'va:ns]
adverse;a. 不利的,敌对的,相反的,逆的;['1dv4:s]
adversity;n. 不幸,灾祸;[4d'v4:siti]
advice;n. 忠告,通知;[4d'vais]
advisable;a. 适当的,明智的;[4d'vaiz4bl]
advise;vt. 劝告,通知,与...商量,建议vi. 提意见,商量;[4d'vaiz]
advocate;n. 提倡者,拥护者vt. 主张,提倡;['1dv4kit]
aesthetic;a. 美学的,审美的,有美感;[i:s'7etik]
affable;a. 和蔼可亲的,友善的,殷勤的;['1f4bl]
affect;vt. 影响,假装,倾向于,感动n. 感情;[4'fekt]
affection;n. 爱,情感,影响,病;[4'fek54n]
affectionate;a. 情深的,充满情爱的;[4'fek5nit]
affiliate;vt. 附属,接纳vi. 有关;[4'filieit]
affinity;n. 密切关系,强烈的吸引力;[4'finiti]
affirm;vt.vi. 断言,确认,肯定;[4'f4:m]
afflict;vt. 使痛苦,折磨;[4'flikt]
afflicting;痛苦的;[_'flikt]
affluence;n. 富裕,富足,流入;['1flu4ns]
affluent;a. 丰富的,富裕的n. 支流;['1flu4nt]
afford;vt. 提供,供应得起,给予;[4'f3:d]
age;n. 年龄,年老vt.vi. 成熟,变老;[eid9]
aged;a. 年老的,经过相当岁月的,有...岁的;[eid9d]
agenda;n.pl. 议程,应办事项;[4'd9end4]
aggravate;vt. 使恶化,使更严重加重;['1gr4veit]
aggregate;n. 合计,总计,集合体a. 合计的,集合的,聚合的vt.vi. 聚集,集合,合计;['1grigeit]
aggression;n. 进攻,侵略;[4'gre54n]
aggressive;a. 侵略的,攻击性的;[4'gresiv]
aghast;a. 惊骇的,吓呆的;[4'ga:st]
agile;a. 敏捷的,灵活的,轻快的;['1d9ail]
agility;n. 敏捷,灵活,轻快;[4'd9il4ti]
agitate;vt. 使摇动,骚动vi. 鼓动;['1d9iteit]
agonize;vt. 使苦恼,折磨vi. 感到痛苦;['1g4naiz]
agrarian;a. 有关土地的,耕地的;[4'grA4ri4n]
agreeable;a. 愉快的,和蔼可亲的,同意的;[4'gri4bl]
aim;n. 目标,瞄准vi. 对准目标,打算vt. 瞄准;[eim]
alert;a. 警觉的,灵敏的,留心的n. 警报vt. 使警觉;[4'l4:t]
algebra;n. 代数学;['1ld9ibr4]
alien;n. 外侨a. 外国的,相异的;['eilj4n]
alienate;vt. 使疏远,离间,让与;['eilj4neit]
alkali;n. 碱;['1lk4lai]
allege;vt. 宣称,申述,主张,断言;[4'led9]
allegiance;n. 忠贞,效忠;[4'li:d94ns]
allegory;n. 寓言;['1lig4ri]
alleviate;vt. 减轻,使缓和;[4'li:vieit]
alliance;n. 联盟,联合;[4'lai4ns]
allocate;vt. 分派,分配;['1l4'keit]
allot;vt. 分配,分摊指定;[4'l3t]
allude;vi. 暗示,提及;[4'lu:d]
allure;vt. 引诱,吸引n. 魅力,诱惑力;[4'lju4]
allusion;n. 提及,暗示;[4'lu:94n]
ally;n. 盟友,同盟国vt. 联盟,联合,与...有关系vi. 结盟;['1lai,4'lai]
alone;a. 孤独的,单独的,独自的ad. 独自地;[4'l4un]
alter;vt.vi. 改变;['3:lt4]
alternate;a. 交互的,轮流的vt.vi. 轮流,(使)交替;[3:l't4:nit]
alternative;n. 二中择一,变通办法a. 二中择一的,选择性的;[3:l't4:n4tiv]
altruism;n. 利他主义,利他;['1ltru'iz4m]
aluminum;n. 铝;['1lju'minj4m]
alumnus;n. 男毕业生,男校友;[4'l8mn4s]
amalgamate;vt.vi. 使与汞混合,合并;[4'm1lg4meit]
amass;vt. 收集,积聚;[4'm1s]
amateur;n. 业余技艺家,爱好者;['1m4t4:]
amazed;a. 吃惊的,惊奇的;[_'meizd]
ambiguous;a. 暧昧的,不明确的;[1m'bigju4s]
ambitious;a. 有野心的,抱负不凡的,雄心勃勃的;[1m'bi54s]
amenable;a. 应服从的,会接纳的,肯服从的,有义务的;[4'mi:n4bl]
amend;vt. 修正,改善,改良vi. 改过自新;[4'mend]
amiable;a. 亲切的,和蔼可亲的;['eimj4bl]
amicable;a. 友善的,和平的;['1mik4bl]
amount;n. 数量,总额vi. 总计,等于;[4'maunt]
